nspr 4.19-1
nss 3.37-1
ntfs-3g 2017.3.23-1
numix-frost-themes 3.6.6-1
numix-gtk-theme 2.6.7-1
numix-icon-theme 1:0.r1976-1
numix-icon-theme-square 1:18.02.16-1
openal 1.18.2-2
opencore-amr 0.1.5-1
openexr 2.2.1-1
openjpeg2 2.3.0-1
openresolv 3.9.0-1
openssh 7.7p1-1
openssl 1.1.0.h-1
openssl-1.0 1.0.2.o-1
openvpn 2.4.6-1
opus 1.2.1-1
orc 0.4.28-1
os-prober 1.76-1
osinfo-db 20180416-1
p11-kit 0.23.10-1
package-query 1.9.r380-2
pacman 5.0.2-3
pacman-mirrorlist 20180517-1
pam 1.3.0-2
pamac 6.3.1-1
pambase 20171006-1
pango 1.42.1-1
pangomm 2.40.1-2
paper-icon-theme 1.4.0-1
papirus-icon-theme 20180501-1
parted 3.2-6
patch 2.7.6-1
pavucontrol 1:3.0+23+g335c26c-1
pciutils 3.5.6-1
pcmciautils 018-7
pcre 8.42-1
pcre2 10.31-1
perl 5.26.2-1
perl-clone 0.39-4
perl-dbi 1.641-1
perl-encode-locale 1.05-3
perl-error 0.17025-2
perl-file-listing 6.04-4
perl-html-parser 3.72-5
perl-html-tagset 3.20-6
perl-http-cookies 6.04-2
perl-http-daemon 6.01-5
perl-http-date 6.02-4
perl-http-message 6.16-1
perl-http-negotiate 6.01-4
perl-io-html 1.001-3
perl-libwww 6.33-1
perl-lwp-mediatypes 6.02-4
perl-mailtools 2.20-1
perl-net-http 6.18-1
perl-timedate 2.30-4
perl-try-tiny 0.30-1
perl-uri 1.74-1
perl-www-robotrules 6.02-4
perl-xml-libxml 2.0132-1
perl-xml-namespacesupport 1.12-2
perl-xml-parser 2.44-6
perl-xml-sax 1.00-1
perl-xml-sax-base 1.09-2
pinentry 1.1.0-3
pipewire 0.1.9-3
pixman 0.34.0-1
pkcs11-helper 1.22-2
pkg-config 0.29.2-1
pkgfile 17-1
plank 0.11.4-1
polari 3.28.0+1+g76863ad-1
polkit 0.114-1
poppler 0.64.0-1
poppler-glib 0.64.0-1
popt 1.16-9
